Album ID,Artist IDs,Artist(s),ID,Popularity,Query,Rank,Release Date,Song,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Primary Artist ID,Genres,Top Genre
0EJVUQGqNRxYBBCS0OLqY7,"'3grHWM9bx2E9vwJCdlRv9O', '1PJVVIeS5Wu0wbZDhtC0Ht'",Kenny Chesney  ,1t2hJFgJyUPD2crOafMUEk,62.0,track:You and Tequila artist:Kenny Chesney  ,98.0,2010-09-28,You and Tequila,2011.0,0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.35,135.839,242840,4,3grHWM9bx2E9vwJCdlRv9O,"contemporary country, country, country road",country
6rxtWZH5ua9eANwWdwwf9o,'3X458ddYA2YcVWuVIGGOYe',Toni Braxton,5bJ796cOnGBzSN5bm4mwMj,58.0,"track:You re Makin  Me High  ""  artist:Toni Braxton",98.0,1996-06-18,"You re Makin  Me High  "" ",1997.0,0.852,0.563,10,-8.663,0,0.0377,0.0117,1.96e-05,0.119,0.893,92.112,267440,4,3X458ddYA2YcVWuVIGGOYe,"dance pop, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary",soul/r&b
3LdS0B6HjC6RqgIXv4CiWW,'4zjsIwpsKH0a8aXYHWWOqc',Joe Walsh,6nhuJLj0rskSQQ4UZUrGfT,12.0,track:All Night Long artist:Joe Walsh,99.0,2010-03-17,All Night Long,1980.0,0.631,0.566,9,-10.862,1,0.0321,6.07e-05,0.833,0.166,0.456,126.945,210678,4,4zjsIwpsKH0a8aXYHWWOqc,karaoke,
3GoiAspXV2Gipc897P8wMd,'3KLA7mvD10XxcjRbo3uTdB',Drake,12ei8fLJG8BkDifbM1bH4A,7.0,track:Back to Back artist:Drake,99.0,2010-07-27,Back to Back,2015.0,0.527,0.528,10,-18.907,1,0.0995,0.199,0.76,0.105,0.0531,149.664,77253,4,3KLA7mvD10XxcjRbo3uTdB,"epicore, scorecore, soundtrack, video game music",
7JlCbNWZszAdVKZdtHFQ5p,"'3Mcii5XWf6E0lrY3Uky4cA', '2GVBp7QyHckoOg7rYkLvrA'",Ice Cube  ,6ahvJBzznCQvbJt0SmqtkL,41.0,track:Bop Gun (One Nation) artist:Ice Cube  ,99.0,1993-12-07,Bop Gun (One Nation),1994.0,0.845,0.663,6,-8.756,1,0.0508,0.257,0.00079,0.243,0.752,103.053,665160,4,3Mcii5XWf6E0lrY3Uky4cA,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap",hip hop/rap
01sMJCr0xosXP8uZ2djLvd,'6KOqPxwfNAmZPkiCnDE9yT',Joe Jackson,36lvQP8MgB6ZDJ0zgQ64Cn,37.0,track:Breaking Us in Two artist:Joe Jackson,99.0,1982-01-01,Breaking Us in Two,1983.0,0.645,0.273,9,-18.771,1,0.0295,0.326,0.0,0.166,0.509,108.965,292897,4,6KOqPxwfNAmZPkiCnDE9yT,"album rock, art rock, classic rock, classic uk pop, folk rock, mellow gold, new romantic, new wave, new wave pop, permanent wave, power pop, pub rock, rock, soft rock, sophisti-pop",rock
2Z1SUk5Jo7clpF4ZWqlGmc,'32lVGr0fSRGT6okLKHiP68',Taylor Dayne,39owLj3gqY7XN41PC1WO6Q,37.0,track:Can t Get Enough of Your Love artist:Taylor Dayne,99.0,1993-07-13,Can t Get Enough of Your Love,1993.0,0.691,0.837,9,-5.09,0,0.0353,0.0147,4.47e-05,0.162,0.64,108.175,265893,4,32lVGr0fSRGT6okLKHiP68,"freestyle, hi-nrg, new wave pop, soft rock",rock
0nrT2YzJC2dDiBajEb84Pb,"'6yJCxee7QumYr820xdIsjo', '3CygdxquGHurS7f9LjNLkv'",Zac Brown B,6zshANE5F24ouL8THcKfxc,40.0,track:Colder Weather artist:Zac Brown B,99.0,2010-05-04,Colder Weather,2011.0,0.382,0.471,3,-7.643,1,0.0344,0.616,0.0,0.91,0.253,139.3,269533,4,6yJCxee7QumYr820xdIsjo,"contemporary country, country, country road, modern country rock",country
7kKkgI1Ia998AiQ5zxnZEA,'3E3tW69eMfAffLGgsmP3GG',Taylor Hicks,3lxFENvLW8nxXAbNfkZ7IJ,38.0,track:Do I Make You Proud artist:Taylor Hicks,99.0,2006-06-13,Do I Make You Proud,2006.0,0.463,0.524,1,-8.207,1,0.0316,0.026,0.0,0.102,0.308,144.055,248693,4,3E3tW69eMfAffLGgsmP3GG,idol,
6hBP1ZDOKNjjaPODomhGmN,'6nKqt1nbSBEq3iUXD1Xgz8',Petula Clark,1lbCppw0WziEUg1ioiFa7Q,19.0,track:Don t Sleep in the Subway artist:Petula Clark,99.0,1996-04-22,Don t Sleep in the Subway,1967.0,0.424,0.51,10,-8.411,1,0.0474,0.78,0.0,0.378,0.38,133.811,176067,4,6nKqt1nbSBEq3iUXD1Xgz8,"adult standards, brill building pop, bubblegum pop, classic uk pop, easy listening, folk, folk rock, lounge, mellow gold, merseybeat, rock-and-roll",pop
